bank_ref_no,value_date,txn_date,narration,utr_number,credit_inr,debit_inr,balance_inr,gateway_ref_hint
BNK1878547,2026-07-25,2026-07-25,IMPS/760045839791/SanjayBhat/SETTLE,760045839791,99512.46,0.0,8976191.47,pay_349DXBZ9SVN7N1
BNK3410360,2026-07-25,2026-07-25,UPI/474538426922/SanjayBhat/RAZORPAY,474538426922,142865.31,0.0,10186648.01,pay_OXRWK8R2YKCCPR
BNK5074489,2026-07-25,2026-07-25,RTGS/525777686278/RAZORPAYPAYMENTS/SETTLE,525777686278,135107.2,0.0,11564541.91,pay_LOFN1R4KZ36U8U
BNK8395785,2026-07-27,2026-07-27,IMPS/439471735070/PriyaNair/SETTLE,439471735070,13645.13,0.0,8037022.89,pay_361I2HGJ11YEDW
BNK4262081,2026-07-27,2026-07-27,NEFT-557222530916-Manish,557222530916,96254.17,0.0,6291487.54,pay_XKXWD8IL3FB9W1
BNK3030966,2026-07-27,2026-07-27,NEFT-760068866484-AdityaSrivastava-REF6-0024,760068866484,97051.66,0.0,6851534.32,pay_2FLU7U6N7HV3IZ
BNK8007741,2026-07-28,2026-07-28,RAZORPAY SETTLEMENTS 544844364378,544844364378,25576.84,0.0,8656725.28,pay_0GNZS43C5BA75U
BNK2661307,2026-07-29,2026-07-29,UPI/819041453913/MeeraAgarwal/RAZORPAY,819041453913,101249.71,0.0,8326404.17,pay_F8KRD5EQY08P0F
BNK2811298,2026-07-30,2026-07-30,UPI/569876368241/MeeraAgarwal/RAZORPAY,569876368241,47507.45,0.0,8412491.03,pay_S0R2SDS8B25SQ8
BNK8215376,2026-07-30,2026-07-30,INB CREDIT SureshPillai 339940462494,339940462494,58691.56,0.0,8471182.59,pay_EWVZNVKSP2EX5T
BNK4589533,2026-07-31,2026-07-31,NEFT-873750406882-RohanSharma-REF6-0020,873750406882,68500.01,0.0,6486229.71,pay_14J1RIPZIM6CFN
BNK2385991,2026-07-31,2026-07-31,IMPS/394288048932/KavithaReddy/SETTLE,394288048932,80112.08,0.0,9629385.66,pay_M25LEN606N9RR7
BNK9468772,2026-08-01,2026-08-01,CR-RAZORPAY-893774408754-6-0019,893774408754,126242.16,0.0,6417729.7,pay_H2ZQU7EEQTUL1P
BNK7171347,2026-08-02,2026-08-02,CR-RAZORPAY-314040182215-6-0060,314040182215,73898.4,0.0,9207941.46,pay_3FPOYIPK0QTL3Q
BNK9646701,2026-08-02,2026-08-02,UPI/443311214228/ManishTiwari/RAZORPAY,443311214228,110447.43,0.0,9549273.58,pay_3G2QZW3C1QKBHB
BNK4158134,2026-08-03,2026-08-03,CR-RAZORPAY-992962570107-6-0056,992962570107,140288.65,0.0,8876679.01,pay_CQBNKX9DVNU80B
BNK3532644,2026-08-04,2026-08-04,IMPS/446291261920/SureshPillai/SETTLE,446291261920,44688.29,0.0,8736390.36,pay_HV1XG1R11Q7UWW
BNK1058272,2026-08-04,2026-08-04,RAZORPAY SETTLEMENTS 349016725058,349016725058,79961.87,0.0,11296254.3,pay_N6Q7NC85E4E9OE
BNK4184887,2026-08-05,2026-08-05,CR-RAZORPAY-446694606719-6-0074,446694606719,128808.45,0.0,10315456.46,pay_SDIEQFB85P8637
BNK6065810,2026-08-08,2026-08-08,INB CREDIT AdityaSrivastava 464874801234,464874801234,95907.54,0.0,11026892.29,pay_G463SDYGFLIJI1
BNK7268384,2026-08-09,2026-08-09,RTGS/598874133330/RAZORPAYPAYMENTS/SETTLE,598874133330,117556.85,0.0,11144449.14,pay_CELOS6ZLE6KWHE
BNK6249960,2026-08-09,2026-08-09,IMPS/504599351747/KavithaReddy/SETTLE,504599351747,21788.8,0.0,11688360.73,pay_OILKQXLM5Q201L
BNK6649968,2026-08-10,2026-08-10,RTGS/140916141812/RAZORPAYPAYMENTS/SETTLE,140916141812,24171.72,0.0,9134043.06,pay_SAL8M1G9FK2ST0
BNK8799287,2026-08-10,2026-08-10,RTGS/631608037091/RAZORPAYPAYMENTS/SETTLE,631608037091,124814.31,0.0,6976348.63,pay_XAPRPN6QFGSXW7
BNK7853787,2026-08-11,2026-08-11,IMPS/100672302490/SureshPillai/SETTLE,100672302490,5252.7,0.0,7264568.02,pay_6KVPUC8D1WJCIT
BNK7640518,2026-08-11,2026-08-11,RAZORPAY SETTLEMENTS 825119489915,825119489915,142606.76,0.0,8023377.76,pay_9K8YQK94DNMKZA
BNK7156398,2026-08-13,2026-08-13,NEFT-680411980930-ManishTiwari-REF6-0068,680411980930,140697.05,0.0,9793924.47,pay_4YPEIXN8BFQNPC
BNK4226067,2026-08-14,2026-08-14,RTGS/498837994177/RAZORPAYPAYMENTS/SETTLE,498837994177,144302.76,0.0,5144302.76,pay_8MDD4V30T9NT3W
BNK7640184,2026-08-14,2026-08-14,RTGS/388787957213/RAZORPAYPAYMENTS/SETTLE,388787957213,46641.15,0.0,5728510.56,pay_VYIE6IVWPVS7HZ
BNK1279121,2026-08-15,2026-08-15,RTGS/995392845738/RAZORPAYPAYMENTS/SETTLE,995392845738,85692.25,0.0,10484881.95,pay_SF6F7LOW4VSSRU
BNK1476028,2026-08-15,2026-08-15,RTGS/145370393987/RAZORPAYPAYMENTS/SETTLE,145370393987,95534.81,0.0,10043782.7,pay_4JWTEKTSG7FXZV
BNK3050700,2026-08-16,2026-08-16,IMPS/463189664618/KavithaReddy/SETTLE,463189664618,7997.88,0.0,8479180.47,pay_LLJ8YRDDP0NEC8
BNK2686231,2026-08-16,2026-08-16,RTGS/933646465420/RAZORPAYPAYMENTS/SETTLE,933646465420,7201.59,0.0,7857222.81,pay_444NLZ15BCW790
BNK1484348,2026-08-17,2026-08-17,RAZORPAY SETTLEMENTS 235225807501,235225807501,80895.16,0.0,7552163.22,pay_3A5QBSWRPBJEK5
BNK2263313,2026-08-18,2026-08-18,RTGS/611595758355/RAZORPAYPAYMENTS/SETTLE,611595758355,143532.13,0.0,8180555.02,pay_0GET8T63J3R30M
BNK6510922,2026-08-19,2026-08-19,NEFT-805992461852-VikramJoshi-REF6-0058,805992461852,133679.87,0.0,9109871.34,pay_0X65MUFM8ZOV7L
BNK8106470,2026-08-19,2026-08-19,INB CREDIT KavithaReddy 488398407379,488398407379,95874.28,0.0,5645166.62,pay_64CIYHE7UR23GD
BNK2739191,2026-08-20,2026-08-20,RAZORPAY SETTLEMENTS 904194512296,904194512296,6959.97,0.0,9438826.15,pay_SM8T2SA5BNN0MC
BNK4188068,2026-08-20,2026-08-20,INB CREDIT SunitaKapoor 331994091775,331994091775,102030.02,0.0,11666571.93,pay_D0GJYV5G10UR5L
BNK5316188,2026-08-20,2026-08-20,RTGS/810640626473/RAZORPAYPAYMENTS/SETTLE,810640626473,83368.24,0.0,10930984.75,pay_AUD9K9TR74QGEF
BNK8925622,2026-08-20,2026-08-20,UPI/887397615467/SunitaKapoor/RAZORPAY,887397615467,141280.75,0.0,10819932.06,pay_0H3JUJD0IB6IID
BNK6189037,2026-08-20,2026-08-20,RTGS/SETTL/169089***,169089769417,60452.7,0.0,9897250.08,pay_Z7W2SEHE2ATN2T
BNK9153566,2026-08-20,2026-08-20,UPI/PAY/19053257/RP...,190532572167,96793.22,0.0,5456680.91,pay_NF877VREN93IIU
BNK1054447,2026-08-21,2026-08-21,RTGS/598895488714/RAZORPAYPAYMENTS/SETTLE,598895488714,133739.26,0.0,5359887.69,pay_VNVQJT7YE511MK
BNK6662319,2026-08-21,2026-08-21,CR-RAZORPAY-458435204313-6-0022,458435204313,122361.65,0.0,6613316.37,pay_0479T6VXDP5GJL
BNK6056977,2026-08-21,2026-08-21,NEFT-323371315180-AmitGupta-REF6-0052,323371315180,48384.8,0.0,8631148.44,pay_XRPJ1EPKYRYBOV
BNK3589751,2026-08-23,2026-08-23,CR-RAZORPAY-821000167049-6-0037,821000167049,91466.49,0.0,7850021.22,pay_92XF8E8LD4D6AF
BNK6861544,2026-08-25,2026-08-25,UPI/312643624935/AnjaliDesai/RAZORPAY,312643624935,34976.79,0.0,8691702.07,pay_37D4IVSOLMLGSE
BNK9874152,2026-08-26,2026-08-26,NEFT-820726006289-ArjunMehta-REF6-0011,820726006289,136498.31,0.0,5865008.87,pay_AWUDTSEMCIKPTK
BNK7815076,2026-08-26,2026-08-26,NEFT-834761706971-AnjaliDesai-REF6-0067,834761706971,23841.76,0.0,9653227.42,pay_CXLVPYMB5M9J98
BNK8010946,2026-08-26,2026-08-26,CR-RAZORPAY-292936248351,292936248351,27684.45,0.0,10847616.51,pay_X5RX1KKC1XI04B
BNK6160869,2026-08-26,2026-08-26,CR-RAZORPAY-968296026728-6-0031,968296026728,64592.22,0.0,7329160.24,pay_ZQY72WX7PTX63C
BNK4713925,2026-08-26,2026-08-26,CR-RAZORPAY-458893511908-6-0043,458893511908,44599.44,0.0,8225154.46,pay_N2ATQYYV37DIA5
BNK1440466,2026-08-27,2026-08-27,IMPS/776980148875/RekhaMenon/SETTLE,776980148875,4714.55,0.0,8483895.02,pay_LDSFR4MUEKIPU1
