erp_txn_id,txn_date,customer_name,payment_method,gross_amount_inr,gateway_fee_inr,tax_on_fee_inr,net_payable_inr,expected_settlement_date,status,gateway_ref,_anomaly_injected
ERP-2026-0090,2026-07-04,Lakshmi Narayanan,Card,100865.71,2017.31,363.12,98485.28,2026-07-06,RECONCILED,pay_F9I6UU13I59SOJ,NONE
ERP-2026-0091,2026-07-22,Rahul Verma,NEFT,138372.8,2767.46,498.14,135107.2,2026-07-25,POSTED,pay_LOFN1R4KZ36U8U,NONE
ERP-2026-0092,2026-08-18,Sunita Kapoor,Wallet,104496.13,2089.92,376.19,102030.02,2026-08-20,POSTED,pay_D0GJYV5G10UR5L,NONE
ERP-2026-0093,2026-08-06,Kavitha Reddy,UPI,22315.45,446.31,80.34,21788.8,2026-08-07,RECONCILED,pay_OILKQXLM5Q201L,NONE
ERP-2026-0094,2026-07-09,Anjali Desai,NEFT,73503.29,1470.07,264.61,71768.61,2026-07-12,POSTED,pay_7UPFLN4RXYJ38X,NONE
ERP-2026-0095,2026-07-01,Meera Agarwal,UPI,61995.11,1239.9,223.18,60532.03,2026-07-04,POSTED,pay_S4C3BAEWCFHQCW,A1
ERP-2026-0096,2026-07-16,Suresh Pillai,Netbanking,45346.21,906.92,163.25,44276.04,2026-07-19,POSTED,pay_TKSZP7G7SIWJM2,NONE
ERP-2026-0097,2026-07-18,Aditya Srivastava,Card,102822.1,2056.44,370.16,100395.5,2026-07-19,RECONCILED,pay_X41DNTCAGRP2U4,NONE
ERP-2026-0098,2026-07-09,Manish Tiwari,Wallet,12224.94,244.5,44.01,11936.43,2026-07-12,POSTED,pay_UB7L8V1ZOCFI4O,NONE
ERP-2026-0099,2026-07-19,Rohan Sharma,Netbanking,11489.25,229.78,41.36,11218.11,2026-07-20,POSTED,pay_BP4M18O1BJ9RM7,NONE
ERP-2026-0100,2026-07-06,Anjali Desai,Netbanking,117773.59,2355.47,423.98,114994.14,2026-07-09,PENDING,pay_N2FOMD7Q1DDPUS,NONE
