erp_txn_id,customer_name,txn_date,erp_gross,erp_fee,erp_tax,erp_net,gateway_txn_id,gw_gross,gw_fee,gw_tax,gw_net,bank_ref_no,bank_credit,bank_narration,utr,fee_delta,net_delta,status,sub_status,confidence,stage,reasoning,exception_reason,anomaly_hint
ERP-2026-0023,Rahul Verma,2026-07-11,144578.34,2891.57,520.48,141166.29,pay_0B8IC8BBI4WIRE,144578.34,2891.57,520.48,141166.29,BNK8801975,141166.29,INB CREDIT RahulVerma 340293786713,340293786713,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=340293786713, Gross=INR 144,578.34, Net=INR 141,166.29, Bank credit=INR 141,166.29. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0024,Aditya Srivastava,2026-07-23,99397.44,1987.95,357.83,97051.66,pay_2FLU7U6N7HV3IZ,99397.44,1987.95,357.83,97051.66,BNK3030966,97051.66,NEFT-760068866484-AdityaSrivastava-REF6-0024,760068866484,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=760068866484, Gross=INR 99,397.44, Net=INR 97,051.66, Bank credit=INR 97,051.66. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0025,Kavitha Reddy,2026-08-07,127831.12,2556.62,460.19,124814.31,pay_XAPRPN6QFGSXW7,127831.12,2556.62,460.19,124814.31,BNK8799287,124814.31,RTGS/631608037091/RAZORPAYPAYMENTS/SETTLE,631608037091,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=631608037091, Gross=INR 127,831.12, Net=INR 124,814.31, Bank credit=INR 124,814.31. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0026,Amit Gupta,2026-07-16,73542.39,1470.85,264.75,71806.79,pay_KQ1UYMRLRMJKV5,73542.39,1470.85,264.75,71806.79,BNK9667566,71806.79,RTGS/110977038883/RAZORPAYPAYMENTS/SETTLE,110977038883,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=110977038883, Gross=INR 73,542.39, Net=INR 71,806.79, Bank credit=INR 71,806.79. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0027,Pooja Iyer,2026-07-15,29291.35,585.83,105.45,28600.07,pay_YXR2DHYLURTP0L,29291.35,585.83,105.45,28600.07,BNK5545223,28600.07,NEFT-601234945339-PoojaIyer-REF6-0027,601234945339,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=601234945339, Gross=INR 29,291.35, Net=INR 28,600.07, Bank credit=INR 28,600.07. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0028,Priya Nair,2026-07-19,95861.51,1917.23,345.1,93599.18,pay_8YG0JV1V93KMKZ,95861.51,1917.23,345.1,93599.18,BNK1763626,93599.18,RTGS/401191380396/RAZORPAYPAYMENTS/SETTLE,401191380396,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=401191380396, Gross=INR 95,861.51, Net=INR 93,599.18, Bank credit=INR 93,599.18. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0029,Rohan Sharma,2026-07-08,91144.49,1822.89,328.12,88993.48,pay_DAKRM8J5ECRUYF,91144.49,1855.72,328.12,88960.65,,0.0,,721959119309,32.83,0.0,EXCEPTION,MAJOR_FEE_VARIANCE,94,1,"Major gateway fee variance: ERP fee=INR 1,822.89, Gateway fee=INR 1,855.72, delta=INR 32.83. Exceeds auto-resolution threshold of INR 5.00. Requires manual review and possible gateway debit-note.",MAJOR_FEE_VARIANCE,A3
ERP-2026-0030,Suresh Pillai,2026-08-08,5379.66,107.59,19.37,5252.7,pay_6KVPUC8D1WJCIT,5379.66,107.59,19.37,5252.7,BNK7853787,5252.7,IMPS/100672302490/SureshPillai/SETTLE,100672302490,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=100672302490, Gross=INR 5,379.66, Net=INR 5,252.70, Bank credit=INR 5,252.70. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0031,Rekha Menon,2026-08-22,66153.44,1323.07,238.15,64592.22,pay_ZQY72WX7PTX63C,66153.44,1323.07,238.15,64592.22,BNK6160869,64592.22,CR-RAZORPAY-968296026728-6-0031,968296026728,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=968296026728, Gross=INR 66,153.44, Net=INR 64,592.22, Bank credit=INR 64,592.22. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0032,Aditya Srivastava,2026-08-18,78085.09,1561.7,281.11,76242.28,,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,EXCEPTION,MISSING_GATEWAY,98,1,"No gateway settlement row found for ERP record ERP-2026-0032. Payment may not have been processed by the gateway, or the settlement file is incomplete.",MISSING_GATEWAY,A4
ERP-2026-0033,Rohan Sharma,2026-07-17,145542.62,2910.85,523.95,142107.82,pay_GVWRDMLY4LYK83,145542.62,2910.85,523.95,142107.82,BNK8630712,142107.82,CR-RAZORPAY-141017352624-6-0033,141017352624,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=141017352624, Gross=INR 145,542.62, Net=INR 142,107.82, Bank credit=INR 142,107.82. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0034,Rekha Menon,2026-08-15,82850.43,1657.01,298.26,80895.16,pay_3A5QBSWRPBJEK5,82850.43,1657.01,298.26,80895.16,BNK1484348,80895.16,RAZORPAY SETTLEMENTS 235225807501,235225807501,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=235225807501, Gross=INR 82,850.43, Net=INR 80,895.16, Bank credit=INR 80,895.16. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0035,Vikram Joshi,2026-07-18,140170.13,2803.4,504.61,136862.12,pay_D96QE3RZSJ49IT,140170.13,2803.4,504.61,136862.12,BNK9526867,136862.12,RAZORPAY SETTLEMENTS 307805919610,307805919610,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=307805919610, Gross=INR 140,170.13, Net=INR 136,862.12, Bank credit=INR 136,862.12. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0036,Neha Singhania,2026-07-03,71209.95,1424.2,256.36,69529.39,pay_3KKV9RFTMTTQLG,71209.95,1424.2,256.36,69529.39,BNK7425184,69529.39,IMPS CREDIT 36498873,364988738014,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=364988738014, Gross=INR 71,209.95, Net=INR 69,529.39, Bank credit=INR 69,529.39. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,A1
ERP-2026-0037,Rohan Sharma,2026-08-20,93677.28,1873.55,337.24,91466.49,pay_92XF8E8LD4D6AF,93677.28,1873.55,337.24,91466.49,BNK3589751,91466.49,CR-RAZORPAY-821000167049-6-0037,821000167049,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=821000167049, Gross=INR 93,677.28, Net=INR 91,466.49, Bank credit=INR 91,466.49. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0038,Suresh Pillai,2026-08-14,7375.65,147.51,26.55,7201.59,pay_444NLZ15BCW790,7375.65,147.51,26.55,7201.59,BNK2686231,7201.59,RTGS/933646465420/RAZORPAYPAYMENTS/SETTLE,933646465420,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=933646465420, Gross=INR 7,375.65, Net=INR 7,201.59, Bank credit=INR 7,201.59. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0039,Arjun Mehta,2026-07-19,24117.36,482.35,86.82,23548.19,pay_KNFTU2GC5WI6FQ,24117.36,482.35,86.82,23548.19,BNK5283671,23548.19,CR-RAZORPAY-603601998005-6-0039,603601998005,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=603601998005, Gross=INR 24,117.36, Net=INR 23,548.19, Bank credit=INR 23,548.19. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0040,Rahul Verma,2026-08-06,146053.62,2921.07,525.79,142606.76,pay_9K8YQK94DNMKZA,146053.62,2921.07,525.79,142606.76,BNK7640518,142606.76,RAZORPAY SETTLEMENTS 825119489915,825119489915,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=825119489915, Gross=INR 146,053.62, Net=INR 142,606.76, Bank credit=INR 142,606.76. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0041,Priya Nair,2026-07-24,13974.94,279.5,50.31,13645.13,pay_361I2HGJ11YEDW,13974.94,279.5,50.31,13645.13,BNK8395785,13645.13,IMPS/439471735070/PriyaNair/SETTLE,439471735070,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=439471735070, Gross=INR 13,974.94, Net=INR 13,645.13, Bank credit=INR 13,645.13. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0042,Vikram Joshi,2026-08-13,147001.37,2940.03,529.21,143532.13,pay_0GET8T63J3R30M,147001.37,2940.03,529.21,143532.13,BNK2263313,143532.13,RTGS/611595758355/RAZORPAYPAYMENTS/SETTLE,611595758355,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=611595758355, Gross=INR 147,001.37, Net=INR 143,532.13, Bank credit=INR 143,532.13. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0043,Rohan Sharma,2026-08-22,45677.43,913.55,164.44,44599.44,pay_N2ATQYYV37DIA5,45677.43,913.55,164.44,44599.44,BNK4713925,44599.44,CR-RAZORPAY-458893511908-6-0043,458893511908,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=458893511908, Gross=INR 45,677.43, Net=INR 44,599.44, Bank credit=INR 44,599.44. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0044,Meera Agarwal,2026-07-27,103696.96,2073.94,373.31,101249.71,pay_F8KRD5EQY08P0F,103696.96,2073.94,373.31,101249.71,BNK2661307,101249.71,UPI/819041453913/MeeraAgarwal/RAZORPAY,819041453913,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=819041453913, Gross=INR 103,696.96, Net=INR 101,249.71, Bank credit=INR 101,249.71. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0045,Priya Nair,2026-07-16,31178.23,623.56,112.24,30442.43,pay_QIN9N6XCJ883DH,31178.23,623.56,112.24,30442.43,BNK1358318,30442.43,RTGS/755581630158/RAZORPAYPAYMENTS/SETTLE,755581630158,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=755581630158, Gross=INR 31,178.23, Net=INR 30,442.43, Bank credit=INR 30,442.43. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0046,Aditya Srivastava,2026-07-02,8333.65,166.67,30.0,8136.98,pay_HH5LF6A4FEJGXA,8333.65,166.67,30.0,8136.98,BNK4991829,8136.98,INB CREDIT AdityaSrivastava 490905848547,490905848547,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=490905848547, Gross=INR 8,333.65, Net=INR 8,136.98, Bank credit=INR 8,136.98. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0047,Meera Agarwal,2026-07-29,48655.72,973.11,175.16,47507.45,pay_S0R2SDS8B25SQ8,48655.72,973.11,175.16,47507.45,BNK2811298,47507.45,UPI/569876368241/MeeraAgarwal/RAZORPAY,569876368241,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=569876368241, Gross=INR 48,655.72, Net=INR 47,507.45, Bank credit=INR 47,507.45. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0048,Suresh Pillai,2026-07-27,60110.16,1202.2,216.4,58691.56,pay_EWVZNVKSP2EX5T,60110.16,1202.2,216.4,58691.56,BNK8215376,58691.56,INB CREDIT SureshPillai 339940462494,339940462494,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=339940462494, Gross=INR 60,110.16, Net=INR 58,691.56, Bank credit=INR 58,691.56. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0049,Kavitha Reddy,2026-08-12,8191.19,163.82,29.49,7997.88,pay_LLJ8YRDDP0NEC8,8191.19,163.82,29.49,7997.88,BNK3050700,7997.88,IMPS/463189664618/KavithaReddy/SETTLE,463189664618,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=463189664618, Gross=INR 8,191.19, Net=INR 7,997.88, Bank credit=INR 7,997.88. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0050,Rekha Menon,2026-08-23,4828.5,96.57,17.38,4714.55,pay_LDSFR4MUEKIPU1,4828.5,96.57,17.38,4714.55,BNK1440466,4714.55,IMPS/776980148875/RekhaMenon/SETTLE,776980148875,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=776980148875, Gross=INR 4,828.50, Net=INR 4,714.55, Bank credit=INR 4,714.55. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0051,Priya Nair,2026-07-11,101258.32,2025.17,364.53,98868.62,pay_7MGFXC08DTNQFL,101258.32,2025.17,364.53,98868.62,BNK2425342,98868.62,IMPS/951796738503/PriyaNair/SETTLE,951796738503,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=951796738503, Gross=INR 101,258.32, Net=INR 98,868.62, Bank credit=INR 98,868.62. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0052,Amit Gupta,2026-08-18,49554.29,991.09,178.4,48384.8,pay_XRPJ1EPKYRYBOV,49554.29,991.09,178.4,48384.8,BNK6056977,48384.8,NEFT-323371315180-AmitGupta-REF6-0052,323371315180,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=323371315180, Gross=INR 49,554.29, Net=INR 48,384.80, Bank credit=INR 48,384.80. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0053,Pooja Iyer,2026-07-26,26195.04,523.9,94.3,25576.84,pay_0GNZS43C5BA75U,26195.04,523.9,94.3,25576.84,BNK8007741,25576.84,RAZORPAY SETTLEMENTS 544844364378,544844364378,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=544844364378, Gross=INR 26,195.04, Net=INR 25,576.84, Bank credit=INR 25,576.84. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
ERP-2026-0054,Anjali Desai,2026-08-22,35822.19,716.44,128.96,34976.79,pay_37D4IVSOLMLGSE,35822.19,716.44,128.96,34976.79,BNK6861544,34976.79,UPI/312643624935/AnjaliDesai/RAZORPAY,312643624935,0.0,0.0,MATCHED,EXACT_MATCH,99,1,"Exact match on ERP<->Gateway<->Bank. UTR=312643624935, Gross=INR 35,822.19, Net=INR 34,976.79, Bank credit=INR 34,976.79. Math valid (ERP delta=0.0, GW delta=0.0). No anomalies detected.",,NONE
