erp_txn_id,txn_date,customer_name,payment_method,gross_amount_inr,gateway_fee_inr,tax_on_fee_inr,net_payable_inr,expected_settlement_date,status,gateway_ref,_anomaly_injected
ERP-2026-0031,2026-07-04,Vikram Joshi,NEFT,129380.37,2587.61,465.77,126326.99,2026-07-06,RECONCILED,pay_6064ROA4EZL8YC,NONE
ERP-2026-0032,2026-08-01,Kavitha Reddy,UPI,127649.24,2552.98,459.54,124636.72,2026-08-03,POSTED,pay_44OBNO5GXE6TUU,NONE
ERP-2026-0033,2026-07-21,Arjun Mehta,IMPS,61604.72,1232.09,221.78,60150.85,2026-07-24,POSTED,pay_0P7F893IS276VC,NONE
ERP-2026-0034,2026-07-25,Anjali Desai,NEFT,129234.52,2584.69,465.24,126184.59,2026-07-27,POSTED,pay_JOKRO13GXCQLIX,A1
ERP-2026-0035,2026-07-20,Anjali Desai,Card,83771.94,1675.44,301.58,81794.92,2026-07-22,PENDING,pay_2EFRHBBSQUY6OR,NONE
ERP-2026-0036,2026-08-14,Kavitha Reddy,IMPS,101272.61,2025.45,364.58,98882.58,2026-08-16,POSTED,pay_LW00CI6SUN8ZUV,NONE
ERP-2026-0037,2026-08-13,Rekha Menon,Wallet,146825.65,2936.51,528.57,143360.57,2026-08-14,RECONCILED,pay_B539SXR8W94SUR,NONE
ERP-2026-0038,2026-07-06,Manish Tiwari,IMPS,33648.17,672.96,121.13,32854.08,2026-07-09,PENDING,pay_2PLUWI4MHW2QD9,NONE
ERP-2026-0039,2026-07-12,Vikram Joshi,IMPS,108046.55,2160.93,388.97,105496.65,2026-07-15,RECONCILED,pay_9TUVRGLJ4N4KAA,A1
ERP-2026-0040,2026-07-15,Deepika Rao,IMPS,16868.98,337.38,60.73,16470.87,2026-07-17,POSTED,pay_IWZ34TD6IZZFNJ,NONE
ERP-2026-0041,2026-08-11,Kavitha Reddy,Card,123071.84,2461.44,443.06,120167.34,2026-08-14,RECONCILED,pay_HF75MMAZZC0Y5X,NONE
ERP-2026-0042,2026-07-22,Amit Gupta,NEFT,65808.11,1316.16,236.91,64255.04,2026-07-23,POSTED,pay_TDCUKD4YN3F2YU,NONE
ERP-2026-0043,2026-08-17,Dinesh Choudhary,NEFT,74872.38,1497.45,269.54,73105.39,2026-08-19,RECONCILED,pay_GZZ3PX53AWMHQ3,A1
ERP-2026-0044,2026-07-25,Suresh Pillai,Card,137145.4,2742.91,493.72,133908.77,2026-07-27,POSTED,pay_PULDHX0DA8QX0I,NONE
ERP-2026-0045,2026-08-07,Deepika Rao,Netbanking,3743.98,74.88,13.48,3655.62,2026-08-08,POSTED,pay_4PGNN42W4C2VHB,NONE
ERP-2026-0046,2026-08-04,Deepika Rao,Wallet,77472.71,1549.45,278.9,75644.36,2026-08-05,PENDING,pay_RPCS6EOICIKGFL,NONE
ERP-2026-0047,2026-08-21,Priya Nair,NEFT,14428.59,288.57,51.94,14088.08,2026-08-22,PENDING,pay_GDCQUPRHBBKT5Z,NONE
ERP-2026-0048,2026-07-04,Rahul Verma,Card,94179.18,1883.58,339.04,91956.56,2026-07-07,RECONCILED,pay_GGB5JJ3XT5PVAC,A5
ERP-2026-0049,2026-07-28,Neha Singhania,NEFT,86444.74,1728.89,311.2,84404.65,2026-07-31,PENDING,pay_4CHJ2KMEZK6DOM,A7
ERP-2026-0050,2026-08-17,Rekha Menon,UPI,125997.04,2519.94,453.59,123023.51,2026-08-18,PENDING,pay_SGTMH8PROJWBSB,NONE
ERP-2026-0051,2026-07-15,Lakshmi Narayanan,Wallet,90948.9,1818.98,327.42,88802.5,2026-07-17,POSTED,pay_1Y6QLKKAEW135V,NONE
ERP-2026-0052,2026-07-12,Pooja Iyer,NEFT,57580.71,1151.61,207.29,56221.81,2026-07-13,PENDING,pay_YUJ20W29EZ27XD,A6
ERP-2026-0053,2026-07-03,Rahul Verma,Wallet,75899.89,1518.0,273.24,74108.65,2026-07-06,POSTED,pay_D420M5VHL30DAQ,NONE
ERP-2026-0054,2026-08-16,Priya Nair,Card,128867.87,2577.36,463.92,125826.59,2026-08-17,PENDING,pay_BQ0A28ZPXHD2T0,A1
ERP-2026-0055,2026-07-08,Priya Nair,Netbanking,108028.47,2160.57,388.9,105479.0,2026-07-09,POSTED,pay_ZB2TUK2QLD61LU,NONE
ERP-2026-0056,2026-08-06,Amit Gupta,NEFT,70625.64,1412.51,254.25,68958.88,2026-08-08,POSTED,pay_GJGD3AWM4BGUS6,NONE
ERP-2026-0057,2026-08-12,Dinesh Choudhary,Card,75462.86,1509.26,271.67,73681.93,2026-08-13,POSTED,pay_91KZKTTIY85L6E,NONE
ERP-2026-0058,2026-08-01,Dinesh Choudhary,Netbanking,122409.43,2448.19,440.67,119520.57,2026-08-03,POSTED,pay_7FW23M5HLKHRIN,NONE
ERP-2026-0059,2026-08-05,Kavitha Reddy,Wallet,53594.08,1071.88,192.94,52329.26,2026-08-07,RECONCILED,pay_GABJ7YXXAIBZ2C,A5
ERP-2026-0060,2026-08-16,Pooja Iyer,IMPS,62840.95,1256.82,226.23,61357.9,2026-08-17,RECONCILED,pay_MEL3D1R3QJR7ZB,NONE
ERP-2026-0061,2026-08-01,Rahul Verma,NEFT,71837.98,1436.76,258.62,70142.6,2026-08-03,RECONCILED,pay_9KPNLONW9200VS,NONE
ERP-2026-0062,2026-07-07,Arjun Mehta,IMPS,62818.94,1256.38,226.15,61336.41,2026-07-08,POSTED,pay_VI96ABJDPYTFW1,NONE
ERP-2026-0063,2026-07-13,Arjun Mehta,Card,97965.32,1959.31,352.68,95653.33,2026-07-15,RECONCILED,pay_PTQR72TMWZ7ZX6,NONE
ERP-2026-0064,2026-07-19,Deepika Rao,Card,3260.03,65.2,11.74,3183.09,2026-07-22,POSTED,pay_ZNC1NIQCCQHVE9,NONE
ERP-2026-0065,2026-08-01,Sunita Kapoor,NEFT,100272.43,2005.45,360.98,97906.0,2026-08-03,RECONCILED,pay_G0CMOAC97UMGHO,A1
ERP-2026-0066,2026-08-19,Lakshmi Narayanan,Netbanking,122005.35,2440.11,439.22,119126.02,2026-08-22,POSTED,pay_73B63XOJXCZ147,NONE
ERP-2026-0067,2026-08-03,Meera Agarwal,UPI,41867.64,837.35,150.72,40879.57,2026-08-06,POSTED,pay_WFSQ1X2HNBVSLL,NONE
ERP-2026-0068,2026-07-01,Arjun Mehta,NEFT,98436.65,1968.73,354.37,96113.55,2026-07-02,POSTED,pay_HX89L7ZJM1JGMF,A3
ERP-2026-0069,2026-08-01,Kavitha Reddy,Wallet,59281.98,1185.64,213.42,57882.92,2026-08-04,POSTED,pay_SBWZ32R5SE307O,NONE
ERP-2026-0070,2026-08-14,Rahul Verma,Wallet,144838.94,2896.78,521.42,141420.74,2026-08-15,RECONCILED,pay_L83OKMZ825EQ5I,A3
ERP-2026-0071,2026-08-22,Amit Gupta,NEFT,52195.57,1043.91,187.9,50963.76,2026-08-23,PENDING,pay_WO7HZL5ECD38SD,NONE
ERP-2026-0072,2026-08-13,Manish Tiwari,UPI,7791.61,155.83,28.05,7607.73,2026-08-15,POSTED,pay_R0YQE8TNUIAWYA,NONE
ERP-2026-0073,2026-07-30,Lakshmi Narayanan,Wallet,64723.57,1294.47,233.0,63196.1,2026-08-02,POSTED,pay_NU55OCILZXCYXQ,NONE
ERP-2026-0074,2026-07-08,Kavitha Reddy,UPI,135077.29,2701.55,486.28,131889.46,2026-07-09,POSTED,pay_C3YXTQ4MPV6EMX,NONE
ERP-2026-0075,2026-08-07,Rohan Sharma,UPI,45245.03,904.9,162.88,44177.25,2026-08-09,RECONCILED,pay_XQ2U9FAPKAQG1M,NONE
ERP-2026-0076,2026-08-17,Aditya Srivastava,Card,4245.07,84.9,15.28,4144.89,2026-08-20,POSTED,pay_HTQ4T1T1KJL9U9,NONE
ERP-2026-0077,2026-08-10,Deepika Rao,IMPS,70448.85,1408.98,253.62,68786.25,2026-08-11,POSTED,pay_G37AGXLS6F61X0,NONE
ERP-2026-0078,2026-08-10,Suresh Pillai,IMPS,62751.12,1255.02,225.9,61270.2,2026-08-12,POSTED,pay_UNW9KM077XU39D,NONE
ERP-2026-0079,2026-08-12,Vikram Joshi,Card,83278.39,1665.57,299.8,81313.02,2026-08-15,POSTED,pay_DDGNXXO6IZJ0QK,NONE
ERP-2026-0080,2026-08-07,Meera Agarwal,Netbanking,131649.28,2632.99,473.94,128542.35,2026-08-10,POSTED,pay_OM6J4MG5G93AOA,NONE
ERP-2026-0081,2026-08-08,Rohan Sharma,Wallet,1316.4,26.33,4.74,1285.33,2026-08-10,RECONCILED,pay_XAAE8PN3IAEVOR,NONE
ERP-2026-0082,2026-07-10,Rohan Sharma,UPI,114092.79,2281.86,410.73,111400.2,2026-07-11,POSTED,pay_DS4SGWQW75DIF9,A1
ERP-2026-0083,2026-07-16,Sanjay Bhat,Card,50036.58,1000.73,180.13,48855.72,2026-07-19,POSTED,pay_5K4B8PS3DK72X7,NONE
ERP-2026-0084,2026-07-31,Anjali Desai,NEFT,133785.23,2675.7,481.63,130627.9,2026-08-03,POSTED,pay_LFISJEEWH5KID7,NONE
ERP-2026-0085,2026-08-22,Neha Singhania,UPI,144250.62,2885.01,519.3,140846.31,2026-08-25,RECONCILED,pay_NQE2X2UGLSRCJ5,A3
ERP-2026-0086,2026-07-13,Dinesh Choudhary,Card,59083.53,1181.67,212.7,57689.16,2026-07-14,POSTED,pay_X5EXV3QJY0WETL,NONE
ERP-2026-0087,2026-07-01,Rahul Verma,Netbanking,69294.39,1385.89,249.46,67659.04,2026-07-03,POSTED,pay_YOECI8Q4MC4R4N,NONE
ERP-2026-0088,2026-08-08,Meera Agarwal,NEFT,34157.71,683.15,122.97,33351.59,2026-08-11,PENDING,pay_7M8W6SILS5VV8B,NONE
ERP-2026-0089,2026-07-16,Meera Agarwal,NEFT,31417.61,628.35,113.1,30676.16,2026-07-19,POSTED,pay_ADLHB3KEASEAU6,NONE
ERP-2026-0090,2026-08-09,Priya Nair,IMPS,43780.89,875.62,157.61,42747.66,2026-08-11,RECONCILED,pay_6I4ASG8OOQY0OD,NONE
ERP-2026-0091,2026-07-27,Vikram Joshi,Wallet,58316.75,1166.34,209.94,56940.47,2026-07-30,POSTED,pay_XDZMGDIZHZPX8A,NONE
ERP-2026-0092,2026-07-29,Meera Agarwal,UPI,145933.18,2918.66,525.36,142489.16,2026-07-31,PENDING,pay_B7VQB9YOPDLP0E,NONE
ERP-2026-0093,2026-07-02,Sunita Kapoor,NEFT,51110.87,1022.22,184.0,49904.65,2026-07-03,POSTED,pay_I53JCA2HCBXRAS,NONE
ERP-2026-0094,2026-08-07,Anjali Desai,IMPS,94241.3,1884.83,339.27,92017.2,2026-08-10,PENDING,pay_XFP3QWKDH0V26N,NONE
ERP-2026-0095,2026-07-30,Aditya Srivastava,NEFT,22498.1,449.96,80.99,21967.15,2026-07-31,POSTED,pay_L3WOZXIUA5ZFKQ,A1
ERP-2026-0096,2026-07-13,Suresh Pillai,Netbanking,148004.51,2960.09,532.82,144511.6,2026-07-16,PENDING,pay_5GN98JPMAL997T,NONE
ERP-2026-0097,2026-07-08,Rahul Verma,Wallet,139831.27,2796.63,503.39,136531.25,2026-07-10,PENDING,pay_PO9H83T3DL2LYO,NONE
ERP-2026-0098,2026-07-03,Dinesh Choudhary,Card,42227.2,844.54,152.02,41230.64,2026-07-06,POSTED,pay_AQBIJT0SBQK7LC,NONE
ERP-2026-0099,2026-08-05,Sunita Kapoor,Wallet,2533.28,50.67,9.12,2473.49,2026-08-08,POSTED,pay_OULA4VGJXNM5GM,NONE
ERP-2026-0100,2026-07-24,Pooja Iyer,Netbanking,103681.57,2073.63,373.25,101234.69,2026-07-27,POSTED,pay_00VML12X510N52,NONE
ERP-2026-0101,2026-07-25,Meera Agarwal,Wallet,104677.85,2093.56,376.84,102207.45,2026-07-28,PENDING,pay_53N6M03SDY0IGF,NONE
ERP-2026-0102,2026-08-12,Deepika Rao,NEFT,83128.72,1662.57,299.26,81166.89,2026-08-13,PENDING,pay_YI0VSSG3LB1JC7,A2
ERP-2026-0103,2026-08-10,Manish Tiwari,Card,80072.66,1601.45,288.26,78182.95,2026-08-12,PENDING,pay_PYJTJ744V1N8M2,A6
ERP-2026-0104,2026-07-05,Pooja Iyer,NEFT,65061.53,1301.23,234.22,63526.08,2026-07-06,POSTED,pay_XGJTU6HBLWAQVU,NONE
ERP-2026-0105,2026-07-28,Suresh Pillai,IMPS,77607.62,1552.15,279.39,75776.08,2026-07-30,RECONCILED,pay_7LCPJHC4XKMW4L,NONE
ERP-2026-0106,2026-07-09,Anjali Desai,NEFT,60485.34,1209.71,217.75,59057.88,2026-07-12,POSTED,pay_ITLI1IG7XBFJ24,NONE
ERP-2026-0107,2026-07-15,Amit Gupta,Wallet,115130.71,2302.61,414.47,112413.63,2026-07-17,PENDING,pay_T73TE8SLCHS102,NONE
ERP-2026-0108,2026-07-21,Dinesh Choudhary,UPI,19623.48,392.47,70.64,19160.37,2026-07-23,POSTED,pay_DZIDOG6QQ70VGH,NONE
ERP-2026-0109,2026-07-13,Suresh Pillai,Card,13215.41,264.31,47.58,12903.52,2026-07-16,PENDING,pay_HO4T66CPKMFCV6,NONE
ERP-2026-0110,2026-07-24,Aditya Srivastava,UPI,52838.9,1056.78,190.22,51591.9,2026-07-25,POSTED,pay_FN7MMVHO8X8ASB,NONE
ERP-2026-0111,2026-07-31,Suresh Pillai,Netbanking,32825.2,656.5,118.17,32050.53,2026-08-02,POSTED,pay_UHCP7CH6CUYN76,NONE
ERP-2026-0112,2026-08-06,Lakshmi Narayanan,Card,21280.48,425.61,76.61,20778.26,2026-08-07,POSTED,pay_MI4G6CKED7QV19,NONE
ERP-2026-0113,2026-07-20,Priya Nair,Wallet,95551.12,1911.02,343.98,93296.12,2026-07-23,PENDING,pay_MP0ULWRKNYRWEK,NONE
ERP-2026-0114,2026-07-02,Neha Singhania,Card,120393.33,2407.87,433.42,117552.04,2026-07-03,POSTED,pay_WSXLQ5MSSSUAMR,NONE
ERP-2026-0115,2026-07-17,Aditya Srivastava,Netbanking,100296.53,2005.93,361.07,97929.53,2026-07-18,PENDING,pay_QW9DXCV4QSQSG4,NONE
ERP-2026-0116,2026-08-07,Anjali Desai,NEFT,78295.9,1565.92,281.87,76448.11,2026-08-08,POSTED,pay_WLQTDZ4LGC7DN9,NONE
ERP-2026-0117,2026-07-20,Anjali Desai,Netbanking,13889.39,277.79,50.0,13561.6,2026-07-23,POSTED,pay_5YNDBCIEI5426F,NONE
ERP-2026-0118,2026-07-30,Suresh Pillai,NEFT,50043.94,1000.88,180.16,48862.9,2026-08-02,POSTED,pay_DJKAMDP34R7NT6,NONE
ERP-2026-0119,2026-07-22,Rekha Menon,NEFT,18550.64,371.01,66.78,18112.85,2026-07-24,POSTED,pay_76VNRFQY95P7GI,NONE
ERP-2026-0120,2026-08-23,Rekha Menon,NEFT,123509.25,2470.18,444.63,120594.44,2026-08-24,RECONCILED,pay_Z6J01Z8SEAL29Y,A1
ERP-2026-0121,2026-08-07,Priya Nair,IMPS,33416.42,668.33,120.3,32627.79,2026-08-10,POSTED,pay_WL0GDAE5NZ0V58,NONE
ERP-2026-0122,2026-08-01,Deepika Rao,NEFT,70893.6,1417.87,255.22,69220.51,2026-08-04,POSTED,pay_9KL0OCYS6Q225W,NONE
ERP-2026-0123,2026-07-15,Dinesh Choudhary,Netbanking,56478.66,1129.57,203.32,55145.77,2026-07-16,POSTED,pay_4E44RND0SFT030,NONE
ERP-2026-0124,2026-08-01,Dinesh Choudhary,Wallet,117299.55,2345.99,422.28,114531.28,2026-08-04,POSTED,pay_X5HGZ2922WNUO6,A3
ERP-2026-0125,2026-08-03,Sanjay Bhat,Card,21794.55,435.89,78.46,21280.2,2026-08-06,POSTED,pay_LMVH9L02WNJI0L,NONE
ERP-2026-0126,2026-07-22,Sunita Kapoor,IMPS,6280.83,125.62,22.61,6132.6,2026-07-24,POSTED,pay_7T17VQ9ZG8FKLJ,A5
ERP-2026-0127,2026-08-06,Dinesh Choudhary,Netbanking,136479.45,2729.59,491.33,133258.53,2026-08-08,POSTED,pay_E08MLBW142WW6X,NONE
ERP-2026-0128,2026-08-09,Rahul Verma,UPI,88629.08,1772.58,319.06,86537.44,2026-08-12,PENDING,pay_KOKQUB7X0PV0T7,A6
ERP-2026-0129,2026-08-14,Neha Singhania,Card,121766.55,2435.33,438.36,118892.86,2026-08-17,POSTED,pay_SK1CIZ22SSD9QR,A2
ERP-2026-0130,2026-08-18,Lakshmi Narayanan,UPI,77089.33,1541.79,277.52,75270.02,2026-08-20,POSTED,pay_GWT4VWG8VCPFA3,NONE
ERP-2026-0131,2026-08-04,Priya Nair,Wallet,19414.32,388.29,69.89,18956.14,2026-08-06,POSTED,pay_M15J3L16SUK4FY,NONE
ERP-2026-0132,2026-08-23,Anjali Desai,Netbanking,146438.68,2928.77,527.18,142982.73,2026-08-24,PENDING,pay_34F7XL3P1GU4AA,NONE
ERP-2026-0133,2026-07-26,Neha Singhania,UPI,13738.16,274.76,49.46,13413.94,2026-07-27,PENDING,pay_V1BIO3F38UNNEE,NONE
ERP-2026-0134,2026-08-07,Suresh Pillai,NEFT,135817.0,2716.34,488.94,132611.72,2026-08-08,PENDING,pay_TX1S764YBPJWPP,NONE
ERP-2026-0135,2026-07-24,Arjun Mehta,IMPS,25177.85,503.56,90.64,24583.65,2026-07-26,POSTED,pay_9DBQ5SQO27GXIP,NONE
ERP-2026-0136,2026-07-13,Aditya Srivastava,Wallet,76820.99,1536.42,276.56,75008.01,2026-07-15,POSTED,pay_UHU7SKIDRHKEV9,NONE
ERP-2026-0137,2026-07-16,Meera Agarwal,IMPS,106463.12,2129.26,383.27,103950.59,2026-07-18,POSTED,pay_SSZLI16EX231TY,A1
ERP-2026-0138,2026-07-19,Kavitha Reddy,NEFT,19022.8,380.46,68.48,18573.86,2026-07-22,POSTED,pay_3VIT0D2NGA65RP,NONE
ERP-2026-0139,2026-07-08,Suresh Pillai,Wallet,135209.38,2704.19,486.75,132018.44,2026-07-11,POSTED,pay_ZHHRQZAB2WCQ79,NONE
ERP-2026-0140,2026-07-07,Sunita Kapoor,IMPS,22469.04,449.38,80.89,21938.77,2026-07-08,POSTED,pay_5PM8KGXCNW5RAG,NONE
ERP-2026-0141,2026-07-11,Rahul Verma,Netbanking,146620.52,2932.41,527.83,143160.28,2026-07-12,PENDING,pay_RVEIDZRCOA25SC,NONE
ERP-2026-0142,2026-07-28,Pooja Iyer,IMPS,100891.76,2017.84,363.21,98510.71,2026-07-29,PENDING,pay_3V2QU7GNB6HLTR,A2
ERP-2026-0143,2026-08-15,Sunita Kapoor,NEFT,119681.69,2393.63,430.85,116857.21,2026-08-16,RECONCILED,pay_EOJZSVAX4FA3MN,NONE
ERP-2026-0144,2026-08-08,Kavitha Reddy,Wallet,105465.89,2109.32,379.68,102976.89,2026-08-11,RECONCILED,pay_2AR5AEKVGSNB1V,NONE
ERP-2026-0145,2026-08-02,Lakshmi Narayanan,UPI,58625.13,1172.5,211.05,57241.58,2026-08-04,POSTED,pay_JMRDS1H75V2INW,NONE
ERP-2026-0146,2026-07-19,Priya Nair,IMPS,7719.92,154.4,27.79,7537.73,2026-07-22,PENDING,pay_I2GVQH15N9M853,A2
ERP-2026-0147,2026-07-09,Rahul Verma,UPI,56779.16,1135.58,204.4,55439.18,2026-07-12,RECONCILED,pay_7SL4HRI5U21JO1,A3
ERP-2026-0148,2026-08-04,Aditya Srivastava,UPI,1764.52,35.29,6.35,1722.88,2026-08-07,POSTED,pay_3UCD2SOZ4DDUJO,NONE
ERP-2026-0149,2026-08-19,Pooja Iyer,IMPS,140751.15,2815.02,506.7,137429.43,2026-08-22,RECONCILED,pay_PPXJM885Z8D7OT,NONE
ERP-2026-0150,2026-08-02,Aditya Srivastava,IMPS,74823.05,1496.46,269.36,73057.23,2026-08-05,POSTED,pay_SHN6FQ18FOD9DC,NONE
ERP-2026-0151,2026-08-03,Lakshmi Narayanan,IMPS,82524.05,1650.48,297.09,80576.48,2026-08-06,RECONCILED,pay_P5I22IJ25DBGBN,NONE
ERP-2026-0152,2026-08-06,Deepika Rao,IMPS,127083.62,2541.67,457.5,124084.45,2026-08-09,POSTED,pay_SKGYY1NR2D94OX,NONE
ERP-2026-0153,2026-08-06,Meera Agarwal,Netbanking,51912.33,1038.25,186.88,50687.2,2026-08-07,POSTED,pay_EBWOFAH9GG1BLB,A3
ERP-2026-0154,2026-08-04,Neha Singhania,Card,124964.11,2499.28,449.87,122014.96,2026-08-06,PENDING,pay_18DR7SJIU2ESSA,NONE
ERP-2026-0155,2026-07-19,Meera Agarwal,Netbanking,137412.82,2748.26,494.69,134169.87,2026-07-21,POSTED,pay_SVRQM8YZ1H930S,NONE
ERP-2026-0156,2026-07-18,Priya Nair,Wallet,48087.32,961.75,173.11,46952.46,2026-07-21,POSTED,pay_A7D9FVQIFJG3HO,NONE
ERP-2026-0157,2026-08-20,Suresh Pillai,IMPS,127940.47,2558.81,460.59,124921.07,2026-08-21,RECONCILED,pay_9WPY97FY21OEW5,NONE
ERP-2026-0158,2026-08-20,Dinesh Choudhary,Netbanking,126895.88,2537.92,456.83,123901.13,2026-08-23,POSTED,pay_EGK84BLJ57QVLL,NONE
ERP-2026-0159,2026-07-05,Pooja Iyer,Card,111970.44,2239.41,403.09,109327.94,2026-07-07,POSTED,pay_MQ2B1JK44KXOK6,NONE
ERP-2026-0160,2026-08-06,Neha Singhania,UPI,68626.48,1372.53,247.06,67006.89,2026-08-09,POSTED,pay_FM6MO410Z5MHH8,NONE
ERP-2026-0161,2026-08-07,Meera Agarwal,IMPS,111021.52,2220.43,399.68,108401.41,2026-08-10,PENDING,pay_WRXDNX8AM0EY7G,NONE
ERP-2026-0162,2026-07-09,Aditya Srivastava,Netbanking,77346.29,1546.93,278.45,75520.91,2026-07-12,POSTED,pay_HV17ORUOEYBQH0,A4
ERP-2026-0163,2026-08-23,Neha Singhania,Wallet,53349.33,1066.99,192.06,52090.28,2026-08-26,RECONCILED,pay_0ROM8BCK5JGECF,NONE
ERP-2026-0164,2026-07-25,Pooja Iyer,Card,123104.35,2462.09,443.18,120199.08,2026-07-27,PENDING,pay_I0JKHMRGJD9TKW,NONE
ERP-2026-0165,2026-08-20,Manish Tiwari,UPI,123069.03,2461.38,443.05,120164.6,2026-08-21,POSTED,pay_9ID2EQ3F8D70CM,A5
ERP-2026-0166,2026-08-19,Priya Nair,NEFT,39605.25,792.11,142.58,38670.56,2026-08-20,POSTED,pay_ZMJ6SA03IYCNFZ,A1
