bank_ref_no,value_date,txn_date,narration,utr_number,credit_inr,debit_inr,balance_inr,gateway_ref_hint
BNK6734390,2026-07-17,2026-07-17,NEFT-681590714716-ManishTiwari-REF6-0011,681590714716,14241.72,0.0,5713947.1,pay_GRFOB3Y9OEA4LB
BNK1501314,2026-07-17,2026-07-17,CR-RAZORPAY-123158146447,123158146447,105496.65,0.0,7449264.02,pay_9TUVRGLJ4N4KAA
BNK7793440,2026-07-17,2026-07-17,UPI/788258269278/MeeraAgarwal/RAZORPAY,788258269278,16007.64,0.0,6545445.39,pay_GYLLJGYDSD8SHH
BNK4908222,2026-07-17,2026-07-17,IMPS/237729912654/AdityaSrivastava/SETTLE,237729912654,75008.01,0.0,14305812.6,pay_UHU7SKIDRHKEV9
BNK8562207,2026-07-17,2026-07-17,INB CREDIT SureshPillai 391618770135,391618770135,12903.52,0.0,12500744.61,pay_HO4T66CPKMFCV6
BNK7452906,2026-07-17,2026-07-17,RAZORPAY SETTLEMENTS 549918442597,549918442597,62212.99,0.0,6509109.96,pay_PZEI08HVZNM48Y
BNK3464816,2026-07-17,2026-07-17,IMPS/391385538753/SunitaKapoor/SETTLE,391385538753,105437.54,0.0,18224618.46,pay_2LNSAJ116U76AT
BNK7622692,2026-07-17,2026-07-17,RTGS/705120021927/RAZORPAYPAYMENTS/SETTLE,705120021927,88802.5,0.0,8331194.8,pay_1Y6QLKKAEW135V
BNK2690345,2026-07-18,2026-07-18,CR-RAZORPAY-838439538368-6-0115,838439538368,97929.53,0.0,12913942.99,pay_QW9DXCV4QSQSG4
BNK2959675,2026-07-18,2026-07-18,RAZORPAY SETTLEMENTS 348289314086,348289314086,55145.77,0.0,13348516.96,pay_4E44RND0SFT030
BNK5023143,2026-07-18,2026-07-18,IMPS/397239517104/SureshPillai/SETTLE,397239517104,144511.6,0.0,11615021.98,pay_5GN98JPMAL997T
BNK3238068,2026-07-18,2026-07-18,IMPS/921533568775/AmitGupta/SETTLE,921533568775,112413.63,0.0,12468680.72,pay_T73TE8SLCHS102
BNK9972269,2026-07-18,2026-07-18,INB CREDIT VikramJoshi 314671109930,314671109930,6183.22,0.0,5964239.91,pay_W9TICRFTA78NK9
BNK7554724,2026-07-18,2026-07-18,RTGS/686254973464/RAZORPAYPAYMENTS/SETTLE,686254973464,16470.87,0.0,7465734.89,pay_IWZ34TD6IZZFNJ
BNK8215550,2026-07-18,2026-07-18,IMPS/575964905247/SanjayBhat/SETTLE,575964905247,5264.28,0.0,17539218.67,pay_KMIUJ10WS341YB
BNK7673086,2026-07-18,2026-07-18,IMPS/575964905247/SanjayBhat/SETTLE,575964905247,5264.28,0.0,17544482.95,pay_KMIUJ10WS341YB
BNK7566926,2026-07-19,2026-07-19,...RPAY SETTLEMENTS 020331,503165020331,103950.59,0.0,14409763.19,pay_SSZLI16EX231TY
BNK1712532,2026-07-20,2026-07-20,INB CREDIT MeeraAgarwal 369225067088,369225067088,30676.16,0.0,11064444.09,pay_ADLHB3KEASEAU6
BNK2832653,2026-07-21,2026-07-21,IMPS/321499683984/MeeraAgarwal/SETTLE,321499683984,57566.61,0.0,21586349.29,pay_00TRETSQD7CHE6
BNK1307729,2026-07-21,2026-07-21,UPI/839727959340/SanjayBhat/RAZORPAY,839727959340,48855.72,0.0,10603562.13,pay_5K4B8PS3DK72X7
BNK7487704,2026-07-21,2026-07-21,RTGS/SETTL/564486***,564486405481,111126.08,0.0,17278094.33,pay_2P4RJ3BAS5IQS3
BNK4191363,2026-07-21,2026-07-21,RAZORPAY SETTLEMENTS 206815140568,206815140568,46952.46,0.0,15934722.11,pay_A7D9FVQIFJG3HO
BNK5747819,2026-07-23,2026-07-23,RTGS/934108311563/RAZORPAYPAYMENTS/SETTLE,934108311563,93296.12,0.0,12698461.42,pay_MP0ULWRKNYRWEK
BNK5953239,2026-07-23,2026-07-23,RAZORPAY SETTLEMENTS 710859860313,710859860313,130924.62,0.0,5644801.56,pay_SVE8R1HDJVQGLH
BNK7249453,2026-07-23,2026-07-23,NEFT-556464682446-DeepikaRao-REF6-0064,556464682446,3183.09,0.0,9246773.23,pay_ZNC1NIQCCQHVE9
BNK7450628,2026-07-23,2026-07-23,IMPS/903573628808/MeeraAgarwal/SETTLE,903573628808,134169.87,0.0,15887769.65,pay_SVRQM8YZ1H930S
BNK9314895,2026-07-24,2026-07-24,CR-RAZORPAY-539112765664-6-0138,539112765664,18573.86,0.0,14428337.05,pay_3VIT0D2NGA65RP
BNK3730558,2026-07-24,2026-07-24,INB CREDIT AnjaliDesai 650562409125,650562409125,81794.92,0.0,7068670.14,pay_2EFRHBBSQUY6OR
BNK8983484,2026-07-24,2026-07-24,NEFT-353867575402-RekhaMenon-REF6-0119,353867575402,18112.85,0.0,13070928.45,pay_76VNRFQY95P7GI
BNK1090588,2026-07-24,2026-07-24,IMPS/345565559346/RohanSharma/SETTLE,345565559346,43158.57,0.0,18064882.51,pay_T63TFAAUWYCUF6
BNK1411791,2026-07-24,2026-07-24,IMPS/258637894273/PriyaNair/SETTLE,258637894273,7540.73,0.0,15108584.76,pay_I2GVQH15N9M853
BNK5140474,2026-07-25,2026-07-25,CR-RAZORPAY-273248281421-6-0235,273248281421,13162.86,0.0,20909730.4,pay_M6EOXZROBV5A98
BNK7292365,2026-07-25,2026-07-25,NEFT-474902632341-DineshChoudhary-REF6-0108,474902632341,19160.37,0.0,12487841.09,pay_DZIDOG6QQ70VGH
BNK6186794,2026-07-25,2026-07-25,RTGS/164600693508/RAZORPAYPAYMENTS/SETTLE,164600693508,62135.66,0.0,19336867.12,pay_Y7QNUTK4PP0WCS
BNK4734935,2026-07-25,2026-07-25,NEFT-606614495754-AmitGupta-REF6-0042,606614495754,64255.04,0.0,7650157.27,pay_TDCUKD4YN3F2YU
BNK1865663,2026-07-25,2026-07-25,CR-RAZORPAY-189462510545-6-0110,189462510545,51591.9,0.0,12552336.51,pay_FN7MMVHO8X8ASB
BNK2255180,2026-07-25,2026-07-25,RTGS/443023917896/RAZORPAYPAYMENTS/SETTLE,443023917896,13561.6,0.0,13003952.7,pay_5YNDBCIEI5426F
BNK2624496,2026-07-25,2026-07-25,UPI/309230732582/DeepikaRao/RAZORPAY,309230732582,116958.39,0.0,19667838.35,pay_FT2YFA4OFQOLLJ
BNK1392611,2026-07-26,2026-07-26,RTGS/193661975612/RAZORPAYPAYMENTS/SETTLE,193661975612,20630.43,0.0,21611101.05,pay_7LI8G1E8GG0RID
BNK3158843,2026-07-26,2026-07-26,UPI/984589766029/LakshmiNarayanan/RAZORPAY,984589766029,134304.82,0.0,21516256.51,pay_DVX3VH8V2ZC951
BNK9267221,2026-07-26,2026-07-26,INB CREDIT PriyaNair 920007465735,920007465735,58829.81,0.0,5058829.81,pay_IBR4OQMWM2QMAZ
BNK5093530,2026-07-26,2026-07-26,INB CREDIT ArjunMehta 935476696005,935476696005,60150.85,0.0,6860690.63,pay_0P7F893IS276VC
BNK4815677,2026-07-27,2026-07-27,UPI/477689259977/ArjunMehta/RAZORPAY,477689259977,117918.62,0.0,19177240.16,pay_8YCER1VON9ME5C
BNK5975766,2026-07-27,2026-07-27,RTGS/SETTL/885537***,885537385352,126184.59,0.0,6986875.22,pay_JOKRO13GXCQLIX
BNK2458359,2026-07-27,2026-07-27,INB CREDIT ArjunMehta 688768180363,688768180363,24583.65,0.0,14230804.59,pay_9DBQ5SQO27GXIP
BNK1463621,2026-07-28,2026-07-28,INB CREDIT KavithaReddy 395850490895,395850490895,12813.55,0.0,18077696.06,pay_AINAOTOUS8LL8F
BNK9386075,2026-07-28,2026-07-28,IMPS/779144903156/NehaSinghania/SETTLE,779144903156,13413.94,0.0,14073609.22,pay_V1BIO3F38UNNEE
BNK9388824,2026-07-28,2026-07-28,IMPS/558756817366/PoojaIyer/SETTLE,558756817366,120199.08,0.0,16640569.91,pay_I0JKHMRGJD9TKW
BNK5012086,2026-07-28,2026-07-28,RAZORPAY SETTLEMENTS 741277427044,741277427044,98070.65,0.0,21832494.45,pay_GJGB27PT9FKTWL
BNK9119991,2026-07-28,2026-07-28,NEFT-275097638054-NehaSinghania-REF6-0012,275097638054,121593.34,0.0,5835540.44,pay_YUCQJU6LYIC0G2
BNK7370335,2026-07-28,2026-07-28,INB CREDIT PoojaIyer 660163191517,660163191517,101234.69,0.0,11896492.05,pay_00VML12X510N52
BNK6270698,2026-07-29,2026-07-29,UPI/355903472637/SureshPillai/RAZORPAY,355903472637,133908.77,0.0,7857171.43,pay_PULDHX0DA8QX0I
BNK5868195,2026-07-29,2026-07-29,RAZORPAY SETTLEMENTS 642863357714,642863357714,102630.18,0.0,18789034.82,pay_DURRYAJLC3EYFW
BNK2752285,2026-07-29,2026-07-29,CR-RAZORPAY-267477474860-6-0101,267477474860,102207.45,0.0,11998699.5,pay_53N6M03SDY0IGF
BNK7932594,2026-07-30,2026-07-30,IMPS/800400202319/DineshChoudhary/SETTLE,800400202319,139418.34,0.0,18021723.94,pay_I5YWL046ARXCMT
BNK6391466,2026-07-30,2026-07-30,INB CREDIT PoojaIyer 989996127033,989996127033,98513.81,0.0,14823968.35,pay_3V2QU7GNB6HLTR
BNK6936836,2026-07-31,2026-07-31,RTGS/701789307950/RAZORPAYPAYMENTS/SETTLE,701789307950,44987.55,0.0,16972652.02,pay_SF6IRT9M5D4K32
BNK9351309,2026-07-31,2026-07-31,INB CREDIT NehaSinghania 910465531320,910465531320,84404.65,0.0,8119368.79,pay_4CHJ2KMEZK6DOM
BNK1937515,2026-07-31,2026-07-31,INB CREDIT VikramJoshi 229351834754,229351834754,56940.47,0.0,11164132.22,pay_XDZMGDIZHZPX8A
BNK1872773,2026-07-31,2026-07-31,RAZORPAY SETTLEMENTS 713154549066,713154549066,72735.23,0.0,18297353.69,pay_1IC5ACQ0I0BXZO
BNK3850693,2026-07-31,2026-07-31,INB CREDIT NehaSinghania 910465531320,910465531320,84404.65,0.0,8034964.14,pay_4CHJ2KMEZK6DOM
BNK1169919,2026-08-01,2026-08-01,UPI/407234552052/MeeraAgarwal/RAZORPAY,407234552052,142489.16,0.0,11306621.38,pay_B7VQB9YOPDLP0E
BNK8565463,2026-08-01,2026-08-01,IMPS/948193647860/KavithaReddy/SETTLE,948193647860,61309.96,0.0,19884954.09,pay_805XKTNFDMDD1K
BNK9430015,2026-08-01,2026-08-01,NEFT-807494326757-Aditya,807494326757,21967.15,0.0,11470510.38,pay_L3WOZXIUA5ZFKQ
BNK8841299,2026-08-01,2026-08-01,RAZORPAY SETTLEMENTS 608941018806,608941018806,75776.08,0.0,12297209.21,pay_7LCPJHC4XKMW4L
BNK3461880,2026-08-02,2026-08-02,NEFT-731802690048-DeepikaRao-REF6-0170,731802690048,93023.23,0.0,17065675.25,pay_DKPAWL0ADNRWA7
BNK1114812,2026-08-02,2026-08-02,RAZORPAY SETTLEMENTS 282276004745,282276004745,2859.3,0.0,5355451.35,pay_7JS1R9C1JSKQ6E
BNK3129058,2026-08-02,2026-08-02,RAZORPAY SETTLEMENTS 751795214811,751795214811,53819.13,0.0,20736504.94,pay_EYI2LR4FYCXLU7
BNK3913456,2026-08-02,2026-08-02,RTGS/656201172112/RAZORPAYPAYMENTS/SETTLE,656201172112,39128.21,0.0,6446896.97,pay_F8C2LTQ8CLLGXF
BNK3857462,2026-08-03,2026-08-03,CR-RAZORPAY-398496945661-6-0084,398496945661,130627.9,0.0,10734190.03,pay_LFISJEEWH5KID7
BNK8851302,2026-08-03,2026-08-03,IMPS CREDIT 40517245,405172452058,97906.0,0.0,9344679.23,pay_G0CMOAC97UMGHO
BNK3373197,2026-08-03,2026-08-03,NEFT-364781312471-KavithaReddy-REF6-0032,364781312471,124636.72,0.0,6800539.78,pay_44OBNO5GXE6TUU
BNK5815764,2026-08-03,2026-08-03,RTGS/322630561996/RAZORPAYPAYMENTS/SETTLE,322630561996,48862.9,0.0,13052815.6,pay_DJKAMDP34R7NT6
BNK3398046,2026-08-03,2026-08-03,RAZORPAY SETTLEMENTS 796256248404,796256248404,32050.53,0.0,12584387.04,pay_UHCP7CH6CUYN76
BNK3501454,2026-08-04,2026-08-04,CR-RAZORPAY-778375071402-6-0145,778375071402,57241.58,0.0,15101044.03,pay_JMRDS1H75V2INW
BNK7356973,2026-08-04,2026-08-04,RAZORPAY SETTLEMENTS 336247737571,336247737571,6270.39,0.0,19812617.26,pay_8EY5LARITUY9QJ
BNK5501237,2026-08-04,2026-08-04,UPI/465468456246/RahulVerma/RAZORPAY,465468456246,31662.39,0.0,19208902.55,pay_5ZV2SADGWMGPNT
BNK5221749,2026-08-04,2026-08-04,CR-RAZORPAY-912691505884-6-0073,912691505884,63196.1,0.0,9921897.46,pay_NU55OCILZXCYXQ
BNK6647908,2026-08-04,2026-08-04,INB CREDIT RahulVerma 444002936646,444002936646,70142.6,0.0,9086600.4,pay_9KPNLONW9200VS
BNK2925207,2026-08-04,2026-08-04,RAZORPAY SETTLEMENTS 244620942683,244620942683,57882.92,0.0,9658730.67,pay_SBWZ32R5SE307O
BNK5869474,2026-08-04,2026-08-04,NEFT-987070112156-ArjunMehta-REF6-0022,987070112156,131692.92,0.0,6346317.18,pay_PYFZ7FRA8Q8DDK
BNK8053420,2026-08-04,2026-08-04,...RPAY SETTLEMENTS 243926,799659243926,68135.85,0.0,20682685.81,pay_ZD0PH48EEGCMLY
BNK2849695,2026-08-05,2026-08-05,RTGS/436035709346/RAZORPAYPAYMENTS/SETTLE,436035709346,121921.09,0.0,5513876.94,pay_QLMXRLY2UN4TEZ
BNK3211108,2026-08-05,2026-08-05,INB CREDIT DeepikaRao 475271505750,475271505750,75644.36,0.0,7936471.41,pay_RPCS6EOICIKGFL
BNK1106307,2026-08-05,2026-08-05,RTGS/645241782215/RAZORPAYPAYMENTS/SETTLE,645241782215,96649.57,0.0,20319271.28,pay_FG8IWMOJ0TVUN8
BNK9246856,2026-08-05,2026-08-05,CR-RAZORPAY-584973728564-6-0122,584973728564,69220.51,0.0,13293371.19,pay_9KL0OCYS6Q225W
BNK9422685,2026-08-05,2026-08-05,UPI/708767251597/MeeraAgarwal/RAZORPAY,708767251597,25949.4,0.0,19693787.75,pay_E15C78FOPYGL03
BNK3051955,2026-08-05,2026-08-05,INB CREDIT VikramJoshi 279969441794,279969441794,17677.23,0.0,5334914.82,pay_EZ0Y52TC0E0BP3
BNK1854104,2026-08-05,2026-08-05,CR-RAZORPAY-202677638002,202677638002,12966.73,0.0,19059321.54,pay_7AFWENA0FFE0JU
BNK4936950,2026-08-05,2026-08-05,CR-RAZORPAY-312689876913-6-0058,312689876913,119520.57,0.0,8955099.9,pay_7FW23M5HLKHRIN
BNK7103547,2026-08-05,2026-08-05,INB CREDIT VikramJoshi 279969441794,279969441794,17677.23,0.0,5352592.05,pay_EZ0Y52TC0E0BP3
BNK6334619,2026-08-06,2026-08-06,UPI/173305723585/AdityaSrivastava/RAZORPAY,173305723585,95139.68,0.0,17811408.37,pay_KSLDEKCYCS61Y8
BNK2032884,2026-08-06,2026-08-06,IMPS/662583506232/RohanSharma/SETTLE,662583506232,126688.4,0.0,16805928.87,pay_TLAHESU0GWG0UT
BNK6855415,2026-08-06,2026-08-06,CR-RAZORPAY-442769747230,442769747230,8060.88,0.0,19216963.43,pay_5R6VYG4KDQP4IU
BNK5634389,2026-08-06,2026-08-06,UPI/586545351893/DineshChoudhary/RAZORPAY,586545351893,114568.3,0.0,13463085.26,pay_X5HGZ2922WNUO6
BNK7836511,2026-08-07,2026-08-07,CR-RAZORPAY-349847237198-6-0067,349847237198,40879.57,0.0,9504684.82,pay_WFSQ1X2HNBVSLL
BNK8225855,2026-08-07,2026-08-07,IMPS/198275231082/MeeraAgarwal/SETTLE,198275231082,46148.74,0.0,19550879.96,pay_C9DT6F9MUDS0WE
BNK5745875,2026-08-07,2026-08-07,RAZORPAY SETTLEMENTS 709096216520,709096216520,61451.58,0.0,6407768.76,pay_ENF9FSTUDFI2Z8
BNK2711268,2026-08-07,2026-08-07,RTGS/641470017076/RAZORPAYPAYMENTS/SETTLE,641470017076,100053.68,0.0,18686404.64,pay_OCMMZTCW88V8VE
BNK2839006,2026-08-07,2026-08-07,IMPS/607466185937/SanjayBhat/SETTLE,607466185937,21280.2,0.0,13484365.46,pay_LMVH9L02WNJI0L
BNK5086861,2026-08-07,2026-08-07,UPI/300391996834/LakshmiNarayanan/RAZORPAY,300391996834,20778.26,0.0,12605165.3,pay_MI4G6CKED7QV19
BNK6623280,2026-08-07,2026-08-07,RAZORPAY SETTLEMENTS 357834057157,357834057157,122014.96,0.0,15753599.78,pay_18DR7SJIU2ESSA
BNK7011215,2026-08-07,2026-08-07,CR-RAZORPAY-823807766242-6-0153,823807766242,50662.85,0.0,15631584.82,pay_EBWOFAH9GG1BLB
BNK9170711,2026-08-07,2026-08-07,INB CREDIT LakshmiNarayanan 352312096193,352312096193,80576.48,0.0,15456837.52,pay_P5I22IJ25DBGBN
BNK4298344,2026-08-07,2026-08-07,NEFT-634885700635-AdityaSrivastava-REF6-0150,634885700635,73057.23,0.0,15376261.04,pay_SHN6FQ18FOD9DC
BNK3166384,2026-08-08,2026-08-08,INB CREDIT SunitaKapoor 724833125852,724833125852,2473.49,0.0,11795257.36,pay_OULA4VGJXNM5GM
BNK7586759,2026-08-08,2026-08-08,UPI/109877846019/PriyaNair/RAZORPAY,109877846019,18956.14,0.0,13917212.55,pay_M15J3L16SUK4FY
BNK6619642,2026-08-08,2026-08-08,NEFT-533889620642-DineshChoudhary-REF6-0127,533889620642,133258.53,0.0,13617623.99,pay_E08MLBW142WW6X
BNK6591960,2026-08-09,2026-08-09,UPI/185789671377/DeepikaRao/RAZORPAY,185789671377,124084.45,0.0,15580921.97,pay_SKGYY1NR2D94OX
BNK9362213,2026-08-09,2026-08-09,NEFT-282193221909-AdityaSrivastava-REF6-0148,282193221909,1722.88,0.0,15165774.38,pay_3UCD2SOZ4DDUJO
BNK4110675,2026-08-09,2026-08-09,UPI/327335614640/SunitaKapoor/RAZORPAY,327335614640,8379.0,0.0,5843919.44,pay_8O1Y8G3F3CECW5
BNK4857003,2026-08-09,2026-08-09,CR-RAZORPAY-476641146432-6-0045,476641146432,3655.62,0.0,7860827.05,pay_4PGNN42W4C2VHB
BNK4440395,2026-08-09,2026-08-09,NEFT-584726470049-NehaSinghania-REF6-0209,584726470049,37302.9,0.0,19503822.28,pay_MPSOS9ENLXIGCV
BNK2579102,2026-08-10,2026-08-10,CR-RAZORPAY-632003393918-6-0134,632003393918,132611.72,0.0,14206220.94,pay_TX1S764YBPJWPP
BNK7922986,2026-08-10,2026-08-10,IMPS/942958607327/RohanSharma/SETTLE,942958607327,1285.33,0.0,10443306.21,pay_XAAE8PN3IAEVOR
BNK1264640,2026-08-10,2026-08-10,UPI/684831480818/AnjaliDesai/RAZORPAY,684831480818,76448.11,0.0,12990391.1,pay_WLQTDZ4LGC7DN9
BNK5884243,2026-08-10,2026-08-10,IMPS/470215844853/AnjaliDesai/SETTLE,470215844853,92017.2,0.0,11448543.23,pay_XFP3QWKDH0V26N
